"Date","SECTION","Period","ResponseID","Survey","PELICAN_TOTAL","PELICAN_TOTAL_N","PELICAN_INJURED","PELICAN_INJURED_N","PELICAN_DEAD","PELICAN_DEAD_N","PELICAN_FED","PELICAN_FED_TYPE","PELICAN_FED_TYPE_TEXT","TIME_MORNING","TIME_MIDDAY","TIME_EVENING","TIME_LATE","TIME_number","inconsistent","pelicans_date","injured_date","dead_date","pelicans_section","injured_section","dead_section","subjective_cat","objectiveSECT_cat","pelican_estimate"
2023-09-24,"A","Unregulated","R_092406","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,0,0,"0","0","About right"
2023-09-24,"A","Unregulated","R_092407","In Person","Yes",5,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,0,0,"5-9","0","Overestimate"
2023-09-24,"B","Unregulated","R_092404","In Person","Yes",10,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,0,0,"10-19","0","Overestimate"
2023-09-24,"B","Unregulated","R_092408","In Person","Yes",20,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,0,0,"20+","0","Overestimate"
2023-09-24,"B","Unregulated","R_092409","In Person","No",0,"No",0,"No",0,"Yes","Something else","Not fed, eating bait","Yes","No","No","No",1,"No",4,1,0,0,0,0,"0","0","About right"
2023-09-24,"B","Unregulated","R_092410","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,0,0,"0","0","About right"
2023-09-27,"A","Unregulated","R_092704","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",12,0,0,2,0,0,"0","1-4","Underestimate"
2023-09-27,"B","Unregulated","R_092701","In Person","Yes",20,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",12,0,0,9,0,0,"20+","5-9","Overestimate"
2023-09-30,"B","Unregulated","R_093001","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",24,0,0,1,0,0,"0","1-4","Underestimate"
2023-09-30,"B","Unregulated","R_093007","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",24,0,0,1,0,0,"0","1-4","Underestimate"
2023-09-30,"B","Unregulated","R_093008","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",24,0,0,1,0,0,"0","1-4","Underestimate"
2023-09-30,"C","Unregulated","R_093005","In Person","Yes",10,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",24,0,0,0,0,0,"10-19","0","Overestimate"
2023-10-06,"A","Unregulated","R_100603","In Person","Yes",20,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",7,0,0,3,0,0,"20+","1-4","Overestimate"
2023-10-06,"A","Unregulated","R_100605","In Person","Yes",10,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",7,0,0,3,0,0,"10-19","1-4","Overestimate"
2023-10-08,"B","Unregulated","R_100801","In Person","Yes",15,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",0,0,0,0,0,0,"10-19","0","Overestimate"
2023-10-08,"B","Unregulated","R_100803","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",0,0,0,0,0,0,"0","0","About right"
2023-10-08,"C","Unregulated","R_100804","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",0,0,0,0,0,0,"0","0","About right"
2023-10-08,"C","Unregulated","R_100806","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",0,0,0,0,0,0,"0","0","About right"
2023-10-11,"A","Unregulated","R_101106","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,0,0,0,"0","0","About right"
2023-10-11,"C","Unregulated","R_101105","In Person","Yes",10,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,0,0,0,"10-19","0","Overestimate"
2023-10-14,"B","Unregulated","R_101402","In Person","Yes",15,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,1,0,0,"10-19","1-4","Overestimate"
2023-10-14,"B","Unregulated","R_101404","In Person","Yes",20,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,1,0,0,"20+","1-4","Overestimate"
2023-10-14,"B","Unregulated","R_101405","In Person","Yes",20,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,1,0,0,"20+","1-4","Overestimate"
2023-10-14,"B","Unregulated","R_101406","In Person","Yes",3,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,1,0,0,"1-4","1-4","About right"
2023-10-20,"A","Unregulated","R_102001","In Person","Yes",5,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",11,0,0,2,0,0,"5-9","1-4","Overestimate"
2023-10-20,"A","Unregulated","R_102002","In Person","Yes",4,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",11,0,0,2,0,0,"1-4","1-4","About right"
2023-10-20,"A","Unregulated","R_102005","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",11,0,0,2,0,0,"0","1-4","Underestimate"
2023-10-20,"B","Unregulated","R_102003","In Person","Yes",20,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",11,0,0,6,0,0,"20+","5-9","Overestimate"
2023-10-22,"A","Unregulated","R_102204","In Person","Yes",1,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,2,0,0,"1-4","1-4","About right"
2023-10-22,"B","Unregulated","R_102201","In Person","Yes",6,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,1,0,"5-9","0","Overestimate"
2023-10-22,"B","Unregulated","R_102202","In Person","Yes",1,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,1,0,"1-4","0","Overestimate"
2023-10-22,"B","Unregulated","R_102203","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,1,0,"0","0","About right"
2023-10-22,"B","Unregulated","R_102205","In Person","Yes",20,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,1,0,"20+","0","Overestimate"
2023-10-25,"B","Unregulated","R_102501","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",9,0,0,2,0,0,"0","1-4","Underestimate"
2023-10-28,"C","Unregulated","R_102802","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",0,0,0,0,0,0,"0","0","About right"
2023-11-03,"A","Unregulated","R_110302","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,1,0,0,0,0,"0","0","About right"
2023-11-03,"A","Unregulated","R_110304","In Person","Yes",3,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,1,0,0,0,0,"1-4","0","Overestimate"
2023-11-03,"B","Unregulated","R_110301","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,1,0,0,0,0,"0","0","About right"
2023-11-05,"A","Unregulated","X_110504","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,0,0,0,"0","0","About right"
2023-11-05,"B","Unregulated","X_110507","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,0,0,0,"0","0","About right"
2023-11-05,"B","Unregulated","X_110508","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,0,0,0,"0","0","About right"
2023-11-05,"B","Unregulated","X_110510","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,0,0,0,"0","0","About right"
2023-11-05,"B","Unregulated","X_110512","In Person","Yes",2,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,0,0,0,"1-4","0","Overestimate"
2023-11-05,"B","Unregulated","X_110513","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,0,0,0,"0","0","About right"
2023-11-05,"C","Unregulated","X_110517","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,2,0,0,"0","1-4","Underestimate"
2023-11-05,"C","Unregulated","X_110518","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,2,0,0,"0","1-4","Underestimate"
2023-11-05,"C","Unregulated","X_110520","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,2,0,0,"0","1-4","Underestimate"
2023-11-05,"C","Unregulated","X_110521","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,2,0,0,"0","1-4","Underestimate"
2023-11-05,"C","Unregulated","X_110522","In Person","Yes",1,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",3,0,0,2,0,0,"1-4","1-4","About right"
2023-11-08,"A","Unregulated","X_110801","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-08,"A","Unregulated","X_110804","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-08,"A","Unregulated","X_110806","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-08,"B","Unregulated","X_110809","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,1,0,0,"0","1-4","Underestimate"
2023-11-08,"C","Unregulated","X_110812","In Person","Yes",2,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"1-4","0","Overestimate"
2023-11-08,"C","Unregulated","X_110813","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-11,"A","Unregulated","X_111101","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-11,"A","Unregulated","X_111102","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-11,"A","Unregulated","X_111109","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-11,"B","Unregulated","X_111111","In Person","Yes",3,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"1-4","0","Overestimate"
2023-11-11,"B","Unregulated","X_111113","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-11,"B","Unregulated","X_111116","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-11,"B","Unregulated","X_111117","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-11,"B","Unregulated","X_111118","In Person","No",0,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"0","0","About right"
2023-11-11,"B","Unregulated","X_111120","In Person","Yes",1,"No",0,"No",0,"No",NA,NA,"No","Yes","No","No",1,"No",8,0,0,0,0,0,"1-4","0","Overestimate"
