"ResponseID","AGE","ZIPCODE","SECTION","TIME_number","GROUP","FULLTIME","MALE","INCOME3","FLRESIDENT","FOOD","SOCIAL","FREQUENCY3","AWARE","TACKLE.Q","TTACKLE.Q","ISSUE_CONCERN.Q","ISSUE_CONFIDENT.Q","ISSUE_CUT.Q","ISSUE_NORM.Q","ACTION_GEAR.Q","ACTION_ZONE.Q","ACTION_ENFORCE.Q","ACTION_DEMOLISH.Q","ACTION_VIDEO.Q","REG_AFFECT.Q","REG_DIFFICULT.Q","REG_ENOUGH.Q","REG_CAUSE.Q","REG_SNORM.Q","REG_REDUCE.Q","REG_ENFORCE.Q","REG_DNORM.Q"
"R_092211",24,33810,"A",1,"Treatment",1,1,"$50,001 - $75,000",1,0,1,"Rarely",1,5,3,3,6,6,4,2,1,2,1,4,3,3,5,4,2,3,5,6
"R_092401",64,33762,"A",1,"Control",0,1,NA,1,0,1,"Rarely",1,1,3,6,2,5,4,3,3,4,2,3,NA,4,3,3,2,4,3,4
"R_092402",59,33981,"A",1,"Control",0,0,"$50,000 or less",1,0,1,"Rarely",1,3,4,1,3,4,2,1,1,5,1,3,6,6,6,1,6,1,1,2
"R_092403",18,34653,"B",2,"Control",0,1,"$50,000 or less",1,0,1,"Rarely",1,4,4,4,3,5,2,2,2,3,3,4,6,6,4,4,2,5,5,1
"R_092404",43,33572,"B",1,"Control",0,1,"$75,001 or more",1,0,0,"Rarely",1,1,4,6,6,6,3,5,5,5,5,5,5,1,3,3,6,6,5,5
"R_092405",27,34114,"B",2,"Control",1,1,NA,1,0,1,"Rarely",0,3,3,6,6,6,6,3,5,5,5,3,1,1,3,3,6,4,3,4
"R_092406",39,33948,"A",1,"Treatment",1,0,"$50,001 - $75,000",1,1,1,"Rarely",1,4,5,5,6,3,3,2,2,1,1,5,4,2,3,3,5,2,4,4
"R_092407",62,34219,"A",1,"Treatment",1,1,"$75,001 or more",1,0,1,"Rarely",1,4,3,4,2,6,3,1,3,3,1,4,2,3,3,2,2,3,5,4
"R_092408",57,34203,"B",1,"Treatment",0,0,"$75,001 or more",1,0,1,"Occasionally",0,1,5,4,2,5,3,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"R_092409",31,33705,"B",1,"Treatment",1,1,"$50,000 or less",1,1,0,"Frequently",1,5,3,1,6,6,1,1,1,2,1,5,6,4,6,6,4,1,3,4
"R_092410",19,34221,"B",1,"Treatment",1,1,"$50,000 or less",1,0,1,"Frequently",1,2,4,5,5,3,5,2,3,4,1,3,3,2,4,4,3,4,3,4
"R_092701",44,11226,"B",1,"Control",1,1,"$50,000 or less",0,1,1,"Rarely",0,2,4,NA,4,6,3,3,3,5,1,4,3,1,3,3,6,4,3,4
"R_092702",NA,34983,"A",1,"Control",0,1,"$75,001 or more",1,0,1,"Rarely",NA,2,2,5,5,6,1,NA,4,4,1,1,2,5,2,2,5,5,6,1
"R_092703",34,33647,"A",2,"Treatment",1,1,"$50,001 - $75,000",1,1,0,"Occasionally",1,3,2,4,6,6,3,1,1,3,4,1,5,1,5,2,2,4,3,4
"R_092704",34,34983,"A",1,"Treatment",1,1,"$75,001 or more",1,0,1,"Rarely",NA,5,2,4,6,4,4,1,1,5,3,4,5,3,3,3,3,2,4,4
"R_093001",40,32792,"B",1,"Control",1,1,"$75,001 or more",1,0,1,"Occasionally",0,2,3,5,6,3,5,2,3,5,4,4,3,3,3,3,6,4,3,5
"R_093002",30,37122,"B",2,"Control",1,1,"$75,001 or more",1,1,0,"Occasionally",1,4,3,4,5,2,4,3,1,2,1,5,3,4,3,3,3,3,3,3
"R_093003",37,33540,"B",2,"Control",1,1,"$50,000 or less",1,0,1,"Rarely",1,0,1,5,6,6,5,2,1,5,1,5,1,6,1,1,6,6,3,1
"R_093004",24,33760,"C",2,"Control",1,1,"$50,000 or less",1,1,1,"Frequently",1,4,4,3,6,6,5,2,1,5,5,3,1,3,6,3,4,2,1,4
"R_093005",27,33527,"C",1,"Control",1,1,"$50,001 - $75,000",1,1,0,"Occasionally",1,3,4,2,6,6,5,2,1,2,5,1,3,2,6,1,NA,4,1,1
"R_093006",42,33764,"B",2,"Treatment",1,1,"$75,001 or more",1,0,1,"Occasionally",0,5,2,5,5,6,4,1,3,2,1,4,4,2,4,4,3,3,4,3
"R_093007",45,33542,"B",1,"Treatment",1,1,"$75,001 or more",1,1,0,"Occasionally",0,5,4,5,2,5,4,1,1,NA,1,NA,5,3,4,3,5,3,4,2
"R_093008",62,33637,"B",1,"Treatment",1,1,"$50,001 - $75,000",1,0,1,"Rarely",0,3,4,4,6,6,4,3,3,3,3,3,3,4,3,3,4,4,3,4
"R_093009",35,33952,"C",2,"Treatment",1,1,"$50,001 - $75,000",1,1,0,"Occasionally",1,5,4,3,4,6,4,1,1,4,5,3,4,2,6,3,1,4,3,3
"R_100601",30,33647,"B",2,"Control",0,1,"$50,000 or less",1,0,0,"Frequently",1,1,2,4,6,6,5,2,1,3,5,4,5,1,6,5,4,5,6,2
"R_100602",66,33647,"B",2,"Control",0,1,"$50,001 - $75,000",1,0,0,"Rarely",1,4,2,6,6,6,2,5,5,5,5,1,1,1,1,4,6,6,3,3
"R_100603",26,92660,"A",1,"Control",1,1,"$50,001 - $75,000",0,1,0,"Rarely",1,4,3,4,5,6,3,1,3,4,2,5,5,2,5,5,5,5,3,5
"R_100604",19,33543,"A",2,"Control",0,1,"$50,000 or less",1,1,1,"Occasionally",1,3,4,2,5,6,4,1,3,5,4,2,6,5,6,1,6,2,4,5
"R_100605",42,33525,"A",1,NA,1,1,"$50,000 or less",1,0,1,"Frequently",NA,NA,NA,6,6,1,6,5,5,5,5,5,1,6,1,1,6,6,1,6
"R_100606",24,42223,"B",2,"Treatment",1,1,"$50,001 - $75,000",0,0,1,"Rarely",1,1,1,2,2,5,2,2,4,2,2,3,2,5,2,2,4,4,3,4
"R_100607",59,34211,"B",2,"Treatment",1,1,"$50,000 or less",1,0,1,"Rarely",0,2,2,6,4,6,5,1,4,4,3,5,5,1,4,3,3,6,5,6
"R_100608",39,46226,"B",2,"Treatment",1,1,"$50,001 - $75,000",1,1,1,"Occasionally",1,5,3,5,5,3,4,3,1,3,2,5,4,4,5,4,4,3,4,2
"R_100801",27,NA,"B",1,"Control",1,1,"$50,000 or less",1,0,1,"Frequently",0,2,2,2,5,3,3,1,1,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA
"R_100802",28,32810,"B",3,"Control",1,1,"$75,001 or more",1,1,1,NA,1,1,2,2,4,6,4,2,1,4,1,3,2,1,3,5,4,3,5,5
"R_100803",76,33859,"B",1,"Control",0,1,"$50,001 - $75,000",1,0,1,"Occasionally",1,3,2,6,6,5,6,4,5,5,1,4,1,2,1,3,5,5,5,5
"R_100804",71,33573,"C",1,"Control",0,1,"$50,001 - $75,000",1,0,0,"Frequently",NA,2,2,2,5,6,6,1,1,4,1,2,5,1,5,3,6,3,3,4
"R_100805",24,33604,"C",2,"Control",1,1,"$50,000 or less",1,0,1,"Rarely",1,3,2,1,6,6,1,1,1,4,1,5,6,6,6,1,1,1,5,1
"R_100806",30,33810,"C",1,"Control",1,0,"$50,000 or less",1,1,1,"Rarely",1,4,1,6,5,6,5,2,2,4,NA,5,2,1,4,2,2,4,4,4
"R_100807",41,33607,"C",2,"Control",1,1,"$50,001 - $75,000",1,0,1,"Rarely",1,1,1,2,5,6,4,3,3,3,2,5,3,2,5,4,4,4,4,5
"R_100808",29,33810,"C",2,"Treatment",1,1,"$50,001 - $75,000",1,0,1,"Rarely",1,4,1,6,6,6,2,1,1,5,1,5,4,1,1,5,6,2,3,2
"R_100809",42,34207,"C",2,"Treatment",1,1,"$75,001 or more",1,1,1,"Frequently",1,3,2,2,6,6,3,1,1,5,1,1,5,2,6,1,5,1,4,2
"R_100810",35,33764,"C",2,"Treatment",1,0,"$75,001 or more",1,0,1,"Occasionally",1,1,1,6,2,2,5,4,1,4,1,4,5,2,5,5,5,5,4,2
"R_100811",49,33610,"C",2,"Treatment",1,0,"$50,001 - $75,000",1,0,1,"Frequently",1,2,2,5,4,5,5,2,2,4,4,5,2,1,5,5,5,5,5,5
"R_100812",59,33578,"B",2,"Treatment",1,1,"$50,001 - $75,000",1,0,1,"Occasionally",1,2,3,6,6,6,6,5,2,3,1,5,1,2,2,2,6,6,3,4
"R_100813",53,33598,"B",2,"Treatment",1,0,"$75,001 or more",1,0,1,"Rarely",0,5,1,6,5,4,5,2,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"R_101101",35,33714,"C",2,"Control",0,1,"$50,000 or less",1,1,0,"Frequently",1,4,2,5,5,5,5,3,1,4,1,4,2,1,6,6,5,2,4,5
"R_101102",39,34221,"B",3,"Control",1,0,"$50,001 - $75,000",1,1,1,"Frequently",1,4,4,5,6,6,5,1,1,4,1,3,6,1,6,3,6,1,4,4
"R_101103",35,34251,"A",2,"Control",1,1,"$50,000 or less",1,0,0,"Frequently",1,4,4,2,6,6,4,1,1,5,5,5,6,6,1,1,3,1,3,4
"R_101104",65,33810,"C",2,"Treatment",0,1,"$50,001 - $75,000",1,0,0,"Rarely",1,3,3,5,6,6,2,2,3,4,1,5,1,2,5,1,6,6,1,6
"R_101105",67,34222,"C",1,"Treatment",1,1,"$50,000 or less",1,0,0,"Rarely",1,5,3,5,5,5,5,2,1,2,1,4,2,2,3,4,2,4,4,5
"R_101106",45,33578,"A",1,"Treatment",0,0,NA,1,0,0,"Frequently",1,2,1,3,4,2,3,2,1,4,3,2,4,2,4,5,5,2,2,1
"R_101107",NA,33614,"A",2,"Treatment",1,1,"$50,000 or less",1,1,0,"Occasionally",1,1,3,1,NA,6,1,2,NA,1,2,1,6,1,6,6,1,1,6,1
"R_101401",45,33710,"B",3,"Control",1,1,NA,1,1,0,"Occasionally",1,4,4,1,6,6,6,1,1,5,1,3,6,3,6,6,6,1,6,6
"R_101402",55,34211,"B",1,"Control",1,1,"$75,001 or more",1,1,1,"Frequently",1,2,2,3,3,6,2,1,1,1,1,4,6,4,6,6,1,1,5,2
"R_101403",35,33831,"B",1,"Control",1,1,"$75,001 or more",1,0,1,"Occasionally",0,2,2,3,5,5,3,2,1,2,1,5,2,2,5,3,4,4,4,5
"R_101404",33,32059,"B",1,"Control",1,0,"$50,000 or less",1,0,1,"Rarely",0,4,4,6,5,6,5,3,1,5,1,5,1,1,4,3,6,2,2,2
"R_101405",57,33761,"B",1,"Control",1,1,"$75,001 or more",1,0,1,"Occasionally",1,4,4,1,6,6,4,1,1,1,1,3,6,3,6,4,3,3,4,3
"R_101406",32,34208,"B",1,"Treatment",0,0,"$50,000 or less",1,1,1,"Frequently",1,2,2,2,5,4,3,1,1,5,1,3,5,2,5,5,3,3,4,5
"R_101407",39,34211,"B",3,"Treatment",1,1,"$50,001 - $75,000",1,1,1,"Frequently",1,5,3,6,5,5,5,3,3,5,5,3,4,2,4,4,3,3,3,3
"R_101408",68,34698,"B",2,"Treatment",1,NA,"$50,001 - $75,000",1,1,0,"Frequently",1,3,2,2,6,6,5,1,1,4,1,4,6,5,6,2,2,2,5,3
"R_101409",39,34211,"B",2,"Treatment",1,1,"$75,001 or more",1,1,1,"Frequently",1,3,3,5,6,5,2,2,1,1,4,3,5,1,6,3,6,2,6,4
"R_101410",32,33635,"B",1,"Treatment",1,1,"$50,001 - $75,000",1,0,1,"Occasionally",1,2,2,1,1,6,1,1,1,2,2,1,NA,4,4,2,6,6,1,6
"R_101411",32,33716,"A",2,"Treatment",1,1,"$50,000 or less",1,0,1,"Rarely",0,4,4,6,6,6,3,1,1,1,1,5,2,2,5,3,2,5,3,3
"R_102001",60,33716,"A",1,"Control",0,1,"$50,000 or less",1,0,1,"Occasionally",1,1,3,6,6,6,4,2,2,5,1,5,3,1,5,4,6,6,4,3
"R_102002",23,NA,"A",1,"Control",1,1,"$50,001 - $75,000",0,1,1,"Occasionally",1,4,4,4,5,3,3,1,2,2,4,4,5,2,5,4,3,3,5,3
"R_102003",62,33596,"B",1,"Control",0,1,"$75,001 or more",1,0,0,"Frequently",1,1,2,6,6,6,5,4,3,4,1,5,3,1,6,6,1,6,6,6
"R_102004",33,33604,"A",1,"Control",1,1,"$50,000 or less",1,0,1,"Occasionally",1,2,2,5,4,5,4,3,3,3,4,4,2,2,5,5,5,5,3,5
"R_102005",23,34208,"A",1,"Treatment",1,1,"$50,001 - $75,000",1,0,1,"Occasionally",1,2,2,3,6,6,4,1,2,5,5,4,3,1,6,5,5,4,5,6
"R_102006",NA,32810,"A",2,"Treatment",0,1,"$50,000 or less",1,0,1,"Rarely",0,4,5,5,5,6,4,3,3,4,1,4,5,5,3,5,5,5,3,5
"R_102201",57,23236,"B",1,"Control",1,1,"$50,001 - $75,000",0,0,1,"Rarely",1,2,2,5,6,5,4,4,3,5,3,4,5,1,4,5,5,6,4,5
"R_102202",45,34785,"B",1,"Control",1,1,"$50,000 or less",1,0,1,"Occasionally",1,1,2,3,5,5,4,1,2,3,1,4,5,2,5,4,4,3,4,4
"R_102203",32,33634,"B",1,"Control",1,1,"$75,001 or more",1,0,1,"Rarely",1,0,2,5,6,4,5,2,3,2,1,5,2,2,3,3,6,5,4,6
"R_102204",39,33782,"A",1,"Treatment",1,1,"$50,001 - $75,000",1,0,1,"Occasionally",0,5,2,5,6,6,3,1,1,1,1,4,3,1,6,5,5,2,5,5
"R_102205",54,34221,"B",1,"Treatment",0,0,"$50,001 - $75,000",1,0,1,"Rarely",1,4,2,6,4,1,5,2,1,4,2,5,2,1,5,5,6,4,3,4
"R_102206",23,23235,"B",2,"Treatment",1,0,"$50,000 or less",0,0,1,"Rarely",1,2,2,5,4,4,4,4,5,5,3,3,2,2,6,5,5,6,4,5
"R_102207",60,32819,"B",2,"Treatment",1,1,"$50,000 or less",1,0,1,"Rarely",0,4,4,6,3,5,2,1,1,5,1,4,6,6,5,1,1,1,6,1
"R_102501",71,32828,"B",1,"Control",0,1,"$50,000 or less",1,0,1,"Rarely",0,2,3,5,4,6,5,4,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"R_102502",61,33578,"B",2,"Control",0,1,"$50,000 or less",1,1,0,"Frequently",1,3,2,6,5,6,3,3,1,1,1,5,1,3,5,4,6,5,4,3
"R_102503",47,33708,"B",2,"Treatment",1,1,"$75,001 or more",1,0,0,"Frequently",1,2,2,1,6,3,4,3,3,3,3,3,2,1,4,4,5,3,4,4
"R_102504",69,34211,"C",2,"Treatment",0,1,"$75,001 or more",1,0,0,"Occasionally",1,3,4,6,6,6,6,3,4,5,1,5,1,1,6,4,6,6,3,5
"R_102801",38,33777,"C",2,"Control",1,1,NA,1,1,1,"Rarely",0,2,3,5,3,6,4,1,1,3,3,5,6,5,6,1,1,3,4,3
"R_102802",57,33523,"C",1,"Control",0,1,"$50,001 - $75,000",1,1,1,"Frequently",0,2,2,5,6,2,4,3,2,3,4,4,3,4,4,5,4,4,2,5
"R_102803",47,33579,"C",2,"Control",1,1,"$50,001 - $75,000",1,1,1,"Occasionally",1,4,3,3,6,6,2,1,1,4,5,3,6,1,6,2,6,3,4,5
"R_102804",32,34120,"C",2,"Treatment",1,1,"$50,000 or less",1,1,1,"Rarely",0,5,5,3,6,6,3,3,5,5,1,5,6,4,6,6,5,3,2,2
"R_102805",32,33570,"C",2,"Treatment",1,1,"$50,001 - $75,000",1,1,0,"Occasionally",1,5,2,1,6,6,3,2,5,5,1,5,5,5,6,2,1,5,4,5
"R_102806",43,34202,"C",2,"Treatment",1,1,"$75,001 or more",1,0,0,"Frequently",1,4,3,6,5,6,3,5,4,5,1,5,1,1,3,6,6,6,4,3
"R_110301",75,33573,"B",1,"Control",0,1,"$75,001 or more",1,1,0,"Frequently",1,2,3,4,6,4,6,5,1,1,3,1,4,3,6,6,2,1,1,4
"R_110302",53,33573,"A",1,"Treatment",1,1,"$75,001 or more",1,1,0,"Occasionally",1,2,2,4,6,6,2,1,1,3,1,3,4,1,3,2,4,4,3,4
"R_110303",66,33635,"A",2,"Treatment",0,1,"$75,001 or more",1,1,1,"Frequently",1,4,2,5,6,6,4,3,1,5,2,3,6,2,5,4,2,5,6,6
"R_110304",83,33803,"A",1,"Treatment",0,1,NA,1,0,0,"Frequently",1,3,3,1,6,6,1,2,1,4,5,5,4,2,6,2,2,3,1,2
