"ResponseID","AGE","EMPLOY","GENDER","INCOME","RESIDENT","ZIPCODE","VISIT_WHY","VISIT_WHY_OTHER","VISIT_FROM","REASON_TEXT","COMPANY_TEXT","FREQUENCY","ISSUE_CONCERN","ISSUE_CONFIDENT","ISSUE_CUT","ISSUE_NORM","ACTION_GEAR","ACTION_ZONE","ACTION_ENFORCE","ACTION_DEMOLISH","ACTION_VIDEO","REG_AWARE","REG_DIFFICULT","REG_SNORM","REG_REDUCE","REG_DNORM","SECTION","TIME_MORNING","TIME_MIDDAY","TIME_EVENING","TIME_LATE","TIME_number","REASON_FUN","REASON_FOOD","REASON_SELL","REASON_WATCH","REASON_OTHER","REASON_number","COMPANY_NONE","COMPANY_FRIEND","COMPANY_PARSIB","COMPANY_SPOUSE","COMPANY_KIDS","COMPANY_OTHER","COMPANY_number","GROUP","TACKLE","TTACKLE","REG_AFFECT","REG_ENOUGH","REG_CAUSE","REG_ENFORCE"
"R_092402",59,"Retired","Female","$25,001 - $50,000","Yes",33981,NA,NA,NA,NA,NA,"A few times per year","Strongly disagree","Somewhat disagree","Somewhat agree","Disagree","Not effective at all","Not effective at all","Extremely effective","Not effective at all","Moderately effective","Yes","Strongly agree","Strongly agree","Strongly disagree","Disagree","A","Yes","No","No","No",1,"Yes","No","No","Yes","No",2,"No","Yes","No","Yes","No","No",2,"Control","Three of them","All of them","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree"
"R_092403",18,"Part-time","Male","$25,000 or less","Yes",34653,NA,NA,NA,NA,NA,"A few times per year","Somewhat agree","Somewhat disagree","Agree","Disagree","Slightly effective","Slightly effective","Moderately effective","Moderately effective","Very effective","Yes","Strongly agree","Disagree","Agree","Strongly disagree","B","Yes","No","No","Yes",2,"Yes","No","No","No","No",1,"No","No","Yes","No","No","No",1,"Control","All of them","All of them","Strongly agree","Somewhat agree","Somewhat agree","Agree"
"R_092404",43,"Retired","Male","$75,001 - $100,000","Yes",33572,NA,NA,NA,NA,NA,"A few times per year","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Extremely effective","Extremely effective","Extremely effective","Extremely effective","Extremely effective","Yes","Strongly disagree","Strongly agree","Strongly agree","Agree","B","Yes","No","No","No",1,"Yes","No","No","No","No",1,"Yes","No","No","No","No","No",0,"Control","One of them","All of them","Agree","Somewhat disagree","Somewhat disagree","Agree"
"R_092405",27,"Full-time","Male",NA,"Yes",34114,NA,NA,NA,NA,NA,"A few times per year","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Moderately effective","Extremely effective","Extremely effective","Extremely effective","Moderately effective","No","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","B","Yes","No","No","Yes",2,"Yes","No","No","Yes","No",2,"No","Yes","No","No","No","No",1,"Control","Three of them","Three of them","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree"
"R_092406",39,"Full-time","Female","$50,001 - $75,000","Yes",33948,NA,NA,NA,NA,NA,"A few times per year","Agree","Strongly agree","Somewhat disagree","Somewhat disagree","Slightly effective","Slightly effective","Not effective at all","Not effective at all","Extremely effective","Yes","Disagree","Agree","Disagree","Somewhat agree","A","Yes","No","No","No",1,"Yes","Yes","No","No","No",2,"No","No","No","No","Yes","No",1,"Treatment","Four of them","All of them","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree"
"R_092407",62,"Full-time","Male","$100,001 or more","Yes",34219,NA,NA,NA,NA,NA,"A few times per year","Somewhat agree","Disagree","Strongly agree","Somewhat disagree","Not effective at all","Moderately effective","Moderately effective","Not effective at all","Very effective","Yes","Somewhat disagree","Disagree","Somewhat disagree","Somewhat agree","A","Yes","No","No","No",1,"Yes","No","No","No","No",1,"No","No","No","No","Yes","No",1,"Treatment","Four of them","Three of them","Disagree","Somewhat disagree","Disagree","Agree"
"R_092408",57,"Part-time","Female","$100,001 or more","Yes",34203,NA,NA,NA,NA,NA,"Once or twice a month","Somewhat agree","Disagree","Agree","Somewhat disagree","Slightly effective","Not effective at all","Slightly effective","Slightly effective","Moderately effective","No",NA,NA,NA,NA,"B","Yes","No","No","No",1,"Yes","No","No","No","No",1,"No","No","No","Yes","No","No",1,"Treatment","One of them","All of them",NA,NA,NA,NA
"R_092409",31,"Full-time","Male","$25,001 - $50,000","Yes",33705,NA,NA,NA,NA,NA,"At least once a week","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Not effective at all","Not effective at all","Slightly effective","Not effective at all","Extremely effective","Yes","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","B","Yes","No","No","No",1,"Yes","Yes","No","No","No",2,"Yes","No","No","No","No","No",0,"Treatment","All of them","Three of them","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree"
"R_092410",19,"Full-time","Male","$25,001 - $50,000","Yes",34221,NA,NA,NA,NA,NA,"At least once a week","Agree","Agree","Somewhat disagree","Agree","Slightly effective","Moderately effective","Very effective","Not effective at all","Moderately effective","Yes","Disagree","Somewhat disagree","Somewhat agree","Somewhat agree","B","Yes","No","No","No",1,"Yes","No","No","No","No",1,"No","No","No","Yes","No","No",1,"Treatment","Two of them","Four of them","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree"
"R_092701",44,"Full-time","Male","$25,000 or less","No",11226,"Vacation or holiday",NA,"NY",NA,NA,"A few times per year",NA,"Somewhat agree","Strongly agree","Somewhat disagree","Moderately effective","Moderately effective","Extremely effective","Not effective at all","Very effective","No","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","B","Yes","No","No","No",1,"Yes","Yes","No","No","No",2,"No","Yes","No","No","No","No",1,"Control","Two of them","All of them","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree"
"R_092702",NA,"Retired","Male","$100,001 or more","Yes",34983,NA,NA,NA,NA,NA,"This is my first time at the pier","Agree","Agree","Strongly agree","Strongly disagree",NA,"Very effective","Very effective","Not effective at all","Not effective at all",NA,"Agree","Agree","Agree","Strongly disagree","A","Yes","No","No","No",1,"Yes","No","No","No","No",1,"No","No","No","No","Yes","No",1,"Control","Two of them","Two of them","Disagree","Disagree","Disagree","Strongly agree"
"R_092703",34,"Full-time","Male","$50,001 - $75,000","Yes",33647,NA,NA,NA,NA,NA,"Once or twice a month","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Not effective at all","Not effective at all","Moderately effective","Very effective","Not effective at all","Yes","Strongly disagree","Disagree","Somewhat agree","Somewhat agree","A","Yes","No","No","Yes",2,"Yes","Yes","No","No","No",2,"Yes","No","No","No","No","No",0,"Treatment","Three of them","Two of them","Agree","Agree","Disagree","Somewhat disagree"
"R_092704",34,"Full-time","Male","$75,001 - $100,000","Yes",34983,NA,NA,NA,NA,NA,"This is my first time at the pier","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Not effective at all","Not effective at all","Extremely effective","Moderately effective","Very effective",NA,"Somewhat disagree","Somewhat disagree","Disagree","Somewhat agree","A","Yes","No","No","No",1,"Yes","No","No","No","No",1,"No","No","Yes","No","No","No",1,"Treatment","All of them","Two of them","Agree","Somewhat disagree","Somewhat disagree","Somewhat agree"
"R_093001",40,"Full-time","Male","$75,001 - $100,000","Yes",32792,NA,NA,NA,NA,NA,"Once or twice a month","Agree","Strongly agree","Somewhat disagree","Agree","Slightly effective","Moderately effective","Extremely effective","Very effective","Very effective","No","Somewhat disagree","Strongly agree","Somewhat agree","Agree","B","Yes","No","No","No",1,"Yes","No","No","No","No",1,"No","Yes","No","No","Yes","No",2,"Control","Two of them","Three of them","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree"
"R_093002",30,"Full-time","Male","$75,001 - $100,000","Yes",37122,"Business or work-related activities",NA,"TN",NA,NA,"Once or twice a month","Somewhat agree","Agree","Disagree","Somewhat agree","Moderately effective","Not effective at all","Slightly effective","Not effective at all","Extremely effective","Yes","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","B","Yes","No","No","Yes",2,"Yes","Yes","No","Yes","No",3,"Yes","No","No","No","No","No",0,"Control","All of them","Three of them","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree"
"R_093003",37,"Full-time","Male","$25,000 or less","Yes",33540,NA,NA,"Zhells","Good spot","Family","A few times per year","Agree","Strongly agree","Strongly agree","Agree","Slightly effective","Not effective at all","Extremely effective","Not effective at all","Extremely effective","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","B","Yes","No","No","Yes",2,"No","No","No","Yes","No",1,"No","No","No","No","Yes","No",1,"Control","None of them","One of them","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree"
"R_093004",24,"Full-time","Male","$25,000 or less","Yes",33760,NA,NA,NA,NA,NA,"At least once a week","Somewhat disagree","Strongly agree","Strongly agree","Agree","Slightly effective","Not effective at all","Extremely effective","Extremely effective","Moderately effective","Yes","Somewhat disagree","Somewhat agree","Disagree","Somewhat agree","C","Yes","No","No","Yes",2,"No","Yes","No","No","No",1,"No","No","Yes","No","No","No",1,"Control","All of them","All of them","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree"
"R_093005",27,"Full-time","Male","$50,001 - $75,000","Yes",33527,NA,NA,NA,NA,NA,"Once or twice a month","Disagree","Strongly agree","Strongly agree","Agree","Slightly effective","Not effective at all","Slightly effective","Extremely effective","Not effective at all","Yes","Disagree",NA,"Somewhat agree","Strongly disagree","C","Yes","No","No","No",1,"Yes","Yes","Yes","Yes","No",4,"Yes","No","No","No","No","No",0,"Control","Three of them","All of them","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree"
"R_093006",42,"Full-time","Male","$75,001 - $100,000","Yes",33764,NA,NA,NA,NA,NA,"Once or twice a month","Agree","Agree","Strongly agree","Somewhat agree","Not effective at all","Moderately effective","Slightly effective","Not effective at all","Very effective","No","Disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","B","Yes","No","No","Yes",2,"Yes","No","No","No","No",1,"No","No","No","Yes","No","No",1,"Treatment","All of them","Two of them","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"R_093007",45,"Full-time","Male","$75,001 - $100,000","Yes",33542,NA,NA,NA,NA,NA,"Once or twice a month","Agree","Disagree","Agree","Somewhat agree","Not effective at all","Not effective at all",NA,"Not effective at all",NA,"No","Somewhat disagree","Agree","Somewhat disagree","Disagree","B","Yes","No","No","No",1,"Yes","Yes","No","No","No",2,"Yes","No","No","No","No","No",0,"Treatment","All of them","Four of them","Agree","Somewhat agree","Somewhat disagree","Somewhat agree"
"R_093008",62,"Full-time","Male","$50,001 - $75,000","Yes",33637,NA,NA,"Malaysia",NA,NA,"A few times per year","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Moderately effective","Moderately effective","Moderately effective","Moderately effective","Moderately effective","No","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","B","Yes","No","No","No",1,"No","No","No","Yes","No",1,"No","No","Yes","No","No","No",1,"Treatment","Three of them","Four of them","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree"
"R_093009",35,"Full-time","Male","$50,001 - $75,000","Yes",33952,NA,NA,NA,NA,NA,"Once or twice a month","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Not effective at all","Not effective at all","Very effective","Extremely effective","Moderately effective","Yes","Disagree","Strongly disagree","Somewhat agree","Somewhat disagree","C","Yes","No","No","Yes",2,"Yes","Yes","No","No","No",2,"Yes","No","No","No","No","No",0,"Treatment","All of them","Four of them","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree"
"R_100601",30,"Part-time","Male","$25,001 - $50,000","Yes",33647,NA,NA,NA,NA,NA,"At least once a week","Somewhat agree","Strongly agree","Strongly agree","Agree","Slightly effective","Not effective at all","Moderately effective","Extremely effective","Very effective","Yes","Strongly disagree","Somewhat agree","Agree","Disagree","B","Yes","Yes","No","No",2,"Yes","No","No","No","No",1,"Yes","No","No","No","No","No",0,"Control","One of them","Two of them","Agree","Strongly agree","Agree","Strongly agree"
"R_100602",66,"Retired","Male","$50,001 - $75,000","Yes",33647,NA,NA,"WI",NA,NA,"A few times per year","Strongly agree","Strongly agree","Strongly agree","Disagree","Extremely effective","Extremely effective","Extremely effective","Extremely effective","Not effective at all","Yes","Strongly disagree","Strongly agree","Strongly agree","Somewhat disagree","B","Yes","Yes","No","No",2,"Yes","No","No","No","No",1,"Yes","No","No","No","No","No",0,"Control","All of them","Two of them","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat disagree"
"R_100603",26,"Full-time","Male","$50,001 - $75,000","No",92660,"Something else","Moving here","CA",NA,NA,"This is my first time at the pier","Somewhat agree","Agree","Strongly agree","Somewhat disagree","Not effective at all","Moderately effective","Very effective","Slightly effective","Extremely effective","Yes","Disagree","Agree","Agree","Agree","A","No","Yes","No","No",1,"Yes","Yes","No","No","No",2,"Yes","No","No","No","No","No",0,"Control","All of them","Three of them","Agree","Agree","Agree","Somewhat disagree"
"R_100604",19,"Student","Male","$25,000 or less","Yes",33543,NA,NA,NA,NA,NA,"Once or twice a month","Disagree","Agree","Strongly agree","Somewhat agree","Not effective at all","Moderately effective","Extremely effective","Very effective","Slightly effective","Yes","Agree","Strongly agree","Disagree","Agree","A","Yes","Yes","No","No",2,"Yes","Yes","No","No","No",2,"No","No","Yes","No","No","No",1,"Control","Three of them","All of them","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree"
"R_100605",42,"Full-time","Male","$25,001 - $50,000","Yes",33525,NA,NA,NA,NA,NA,"At least once a week","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Extremely effective","Extremely effective","Extremely effective","Extremely effective","Extremely effective",NA,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","A","No","Yes","No","No",1,"Yes","No","No","No","Yes",2,"No","No","No","Yes","Yes","No",2,NA,NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree"
"R_100606",24,"Full-time","Male","$50,001 - $75,000","No",42223,"Vacation or holiday",NA,"KY",NA,NA,"A few times per year","Disagree","Disagree","Agree","Disagree","Slightly effective","Very effective","Slightly effective","Slightly effective","Moderately effective","Yes","Agree","Somewhat agree","Somewhat agree","Somewhat agree","B","Yes","Yes","No","No",2,"Yes","No","No","No","No",1,"No","No","Yes","No","No","No",1,"Treatment","One of them","One of them","Disagree","Disagree","Disagree","Somewhat disagree"
"R_100607",59,"Full-time","Male","$25,001 - $50,000","Yes",34211,NA,NA,NA,NA,NA,"A few times per year","Strongly agree","Somewhat agree","Strongly agree","Agree","Not effective at all","Very effective","Very effective","Moderately effective","Extremely effective","No","Strongly disagree","Somewhat disagree","Strongly agree","Strongly agree","B","Yes","Yes","No","No",2,"Yes","No","No","Yes","No",2,"No","Yes","No","No","No","No",1,"Treatment","Two of them","Two of them","Agree","Somewhat agree","Somewhat disagree","Agree"
"R_100608",39,"Full-time","Male","$50,001 - $75,000","Yes",46226,NA,NA,"IN",NA,NA,"Once or twice a month","Agree","Agree","Somewhat disagree","Somewhat agree","Moderately effective","Not effective at all","Moderately effective","Slightly effective","Extremely effective","Yes","Somewhat agree","Somewhat agree","Somewhat disagree","Disagree","B","Yes","Yes","No","No",2,"Yes","Yes","No","No","No",2,"No","No","No","Yes","No","No",1,"Treatment","All of them","Three of them","Somewhat agree","Agree","Somewhat agree","Somewhat agree"
"R_100801",27,"Full-time","Male","$25,001 - $50,000","Yes",NA,NA,NA,NA,NA,NA,"At least once a week","Disagree","Agree","Somewhat disagree","Somewhat disagree","Not effective at all","Not effective at all","Very effective","Very effective","Extremely effective","No",NA,NA,NA,NA,"B","No","Yes","No","No",1,"Yes","No","No","No","No",1,"No","No","No","Yes","No","No",1,"Control","Two of them","Two of them",NA,NA,NA,NA
"R_100802",28,"Full-time","Male","$75,001 - $100,000","Yes",32810,NA,NA,NA,NA,NA,NA,"Disagree","Somewhat agree","Strongly agree","Somewhat agree","Slightly effective","Not effective at all","Very effective","Not effective at all","Moderately effective","Yes","Strongly disagree","Somewhat agree","Somewhat disagree","Agree","B","Yes","Yes","No","Yes",3,"Yes","Yes","No","No","No",2,"No","No","No","Yes","No","No",1,"Control","One of them","Two of them","Disagree","Somewhat disagree","Agree","Agree"
"R_100803",76,"Retired","Male","$50,001 - $75,000","Yes",33859,NA,NA,NA,NA,NA,"Once or twice a month","Strongly agree","Strongly agree","Agree","Strongly agree","Very effective","Extremely effective","Extremely effective","Not effective at all","Very effective","Yes","Disagree","Agree","Agree","Agree","B","No","Yes","No","No",1,"Yes","No","No","No","No",1,"No","Yes","No","No","No","No",1,"Control","Three of them","Two of them","Strongly disagree","Strongly disagree","Somewhat disagree","Agree"
"R_100804",71,"Retired","Male","$50,001 - $75,000","Yes",33573,NA,NA,NA,"Relax",NA,"At least once a week","Disagree","Agree","Strongly agree","Strongly agree","Not effective at all","Not effective at all","Very effective","Not effective at all","Slightly effective",NA,"Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","C","No","Yes","No","No",1,"No","No","No","No","Yes",1,"Yes","No","No","No","No","No",0,"Control","Two of them","Two of them","Agree","Agree","Somewhat disagree","Somewhat disagree"
"R_100805",24,"Full-time","Male","$25,001 - $50,000","Yes",33604,NA,NA,NA,NA,NA,"A few times per year","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Not effective at all","Not effective at all","Very effective","Not effective at all","Extremely effective","Yes","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","C","Yes","Yes","No","No",2,"Yes","No","No","No","No",1,"No","Yes","No","No","No","No",1,"Control","Three of them","Two of them","Strongly agree","Strongly agree","Strongly disagree","Agree"
"R_100806",30,"Full-time","Female","$25,001 - $50,000","Yes",33810,NA,NA,NA,NA,NA,"A few times per year","Strongly agree","Agree","Strongly agree","Agree","Slightly effective","Slightly effective","Very effective",NA,"Extremely effective","Yes","Strongly disagree","Disagree","Somewhat agree","Somewhat agree","C","No","Yes","No","No",1,"Yes","Yes","No","Yes","No",3,"No","No","No","Yes","No","No",1,"Control","All of them","One of them","Disagree","Somewhat agree","Disagree","Somewhat agree"
"R_100807",41,"Full-time","Male","$50,001 - $75,000","Yes",33607,NA,NA,NA,NA,NA,"A few times per year","Disagree","Agree","Strongly agree","Somewhat agree","Moderately effective","Moderately effective","Moderately effective","Slightly effective","Extremely effective","Yes","Disagree","Somewhat agree","Somewhat agree","Agree","C","Yes","Yes","No","No",2,"Yes","No","No","No","No",1,"No","No","No","No","Yes","No",1,"Control","One of them","One of them","Somewhat disagree","Agree","Somewhat agree","Somewhat agree"
"R_100808",29,"Full-time","Male","$50,001 - $75,000","Yes",33810,NA,NA,NA,NA,NA,"A few times per year","Strongly agree","Strongly agree","Strongly agree","Disagree","Not effective at all","Not effective at all","Extremely effective","Not effective at all","Extremely effective","Yes","Strongly disagree","Strongly agree","Disagree","Disagree","C","Yes","Yes","No","No",2,"Yes","No","No","No","No",1,"No","No","No","Yes","No","No",1,"Treatment","Four of them","One of them","Somewhat agree","Strongly disagree","Agree","Somewhat disagree"
"R_100809",42,"Full-time","Male","$100,001 or more","Yes",34207,NA,NA,NA,NA,NA,"At least once a week","Disagree","Strongly agree","Strongly agree","Somewhat disagree","Not effective at all","Not effective at all","Extremely effective","Not effective at all","Not effective at all","Yes","Disagree","Agree","Strongly disagree","Disagree","C","Yes","Yes","No","No",2,"Yes","Yes","No","No","No",2,"No","No","No","Yes","No","No",1,"Treatment","Three of them","Two of them","Agree","Strongly agree","Strongly disagree","Somewhat agree"
"R_100810",35,"Full-time","Female","$75,001 - $100,000","Yes",33764,NA,NA,NA,NA,NA,"Once or twice a month","Strongly agree","Disagree","Disagree","Agree","Very effective","Not effective at all","Very effective","Not effective at all","Very effective","Yes","Disagree","Agree","Agree","Disagree","C","Yes","Yes","No","No",2,"Yes","No","No","No","No",1,"No","No","No","Yes","No","No",1,"Treatment","One of them","One of them","Agree","Agree","Agree","Somewhat agree"
"R_100811",49,"Full-time","Female","$50,001 - $75,000","Yes",33610,NA,NA,NA,NA,NA,"At least once a week","Agree","Somewhat agree","Agree","Agree","Slightly effective","Slightly effective","Very effective","Very effective","Extremely effective","Yes","Strongly disagree","Agree","Agree","Agree","C","Yes","Yes","No","No",2,"Yes","No","No","No","No",1,"No","Yes","No","No","Yes","No",2,"Treatment","Two of them","Two of them","Disagree","Agree","Agree","Agree"
"R_100812",59,"Full-time","Male","$50,001 - $75,000","Yes",33578,NA,NA,NA,NA,NA,"Once or twice a month","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Extremely effective","Slightly effective","Moderately effective","Not effective at all","Extremely effective","Yes","Disagree","Strongly agree","Strongly agree","Somewhat agree","B","No","Yes","No","Yes",2,"Yes","No","No","No","No",1,"No","No","No","No","Yes","No",1,"Treatment","Two of them","Three of them","Strongly disagree","Disagree","Disagree","Somewhat disagree"
"R_100813",53,"Full-time","Female","$100,001 or more","Yes",33598,NA,NA,NA,NA,NA,"A few times per year","Strongly agree","Agree","Somewhat agree","Agree","Slightly effective","Slightly effective","Very effective","Slightly effective","Slightly effective","No",NA,NA,NA,NA,"B","Yes","Yes","No","No",2,"Yes","No","No","No","No",1,"No","No","No","Yes","Yes","No",2,"Treatment","All of them","One of them",NA,NA,NA,NA
